Event,Detector,WindowType,Domain,Constant,Count
151008-v1,L1,LEGACY_120s,AMP_P2P,Golden Ratio,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Golden Ratio,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Golden Ratio,5
151008-v1,L1,LEGACY_120s,AMP_P2P,Phi Squared,0
151008-v1,L1,LEGACY_120s,AMP_P2D,Phi Squared,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Phi Squared,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Pi,0
151008-v1,L1,LEGACY_120s,AMP_P2D,Pi,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Pi,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Two Pi,0
151008-v1,L1,LEGACY_120s,AMP_P2D,Two Pi,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Two Pi,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Euler’s Number,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Euler’s Number,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Euler’s Number,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Euler–Mascheroni Constant,4
151008-v1,L1,LEGACY_120s,AMP_P2D,Euler–Mascheroni Constant,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Euler–Mascheroni Constant,10
151008-v1,L1,LEGACY_120s,AMP_P2P,Square Root of 2,3
151008-v1,L1,LEGACY_120s,AMP_P2D,Square Root of 2,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Square Root of 2,18
151008-v1,L1,LEGACY_120s,AMP_P2P,Square Root of 3,2
151008-v1,L1,LEGACY_120s,AMP_P2D,Square Root of 3,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Square Root of 3,2
151008-v1,L1,LEGACY_120s,AMP_P2P,Square Root of 5,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Square Root of 5,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Square Root of 5,2
151008-v1,L1,LEGACY_120s,AMP_P2P,Golden Ratio Conjugate,7
151008-v1,L1,LEGACY_120s,AMP_P2D,Golden Ratio Conjugate,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Golden Ratio Conjugate,12
151008-v1,L1,LEGACY_120s,AMP_P2P,Plastic Constant,8
151008-v1,L1,LEGACY_120s,AMP_P2D,Plastic Constant,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Plastic Constant,20
151008-v1,L1,LEGACY_120s,AMP_P2P,Apéry’s Constant (zeta(3)),9
151008-v1,L1,LEGACY_120s,AMP_P2D,Apéry’s Constant (zeta(3)),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Apéry’s Constant (zeta(3)),125
151008-v1,L1,LEGACY_120s,AMP_P2P,Catalan’s Constant,22
151008-v1,L1,LEGACY_120s,AMP_P2D,Catalan’s Constant,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Catalan’s Constant,6603
151008-v1,L1,LEGACY_120s,AMP_P2P,Feigenbaum Delta,0
151008-v1,L1,LEGACY_120s,AMP_P2D,Feigenbaum Delta,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Feigenbaum Delta,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Feigenbaum Alpha,0
151008-v1,L1,LEGACY_120s,AMP_P2D,Feigenbaum Alpha,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Feigenbaum Alpha,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Khinchin’s Constant,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Khinchin’s Constant,0
151008-v1,L1,LEGACY_120s,AMP_D2D,Khinchin’s Constant,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Length (m),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Length (m),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Length (m),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Time (s),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Time (s),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Time (s),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Charge (C),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Charge (C),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Charge (C),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Temperature (K),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Temperature (K),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Temperature (K),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Absolute Zero (K),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Absolute Zero (K),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Absolute Zero (K),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Cosmic Microwave Background Temp (K),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Cosmic Microwave Background Temp (K),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Cosmic Microwave Background Temp (K),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Boltzmann Constant (J/K),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Boltzmann Constant (J/K),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Boltzmann Constant (J/K),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Avogadro Constant (1/mol),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Avogadro Constant (1/mol),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Avogadro Constant (1/mol),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Gas Constant R (J/(mol·K)),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Gas Constant R (J/(mol·K)),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Gas Constant R (J/(mol·K)),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Fine-Structure Constant,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Fine-Structure Constant,39
151008-v1,L1,LEGACY_120s,AMP_D2D,Fine-Structure Constant,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Gravitational Constant (m^3 kg^-1 s^-2),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Gravitational Constant (m^3 kg^-1 s^-2),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Coulomb Constant (N m^2 C^-2),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Planck Constant (J·s),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Planck Constant (J·s),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Planck Constant (J·s),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Reduced Planck Constant (J·s),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Reduced Planck Constant (J·s),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Reduced Planck Constant (J·s),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Electron Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Electron Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Electron Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Proton Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Proton Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Proton Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Neutron Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Neutron Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Neutron Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Muon Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Muon Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Muon Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Tau Mass (kg),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Tau Mass (kg),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Tau Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Elementary Charge (C),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Elementary Charge (C),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Elementary Charge (C),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Speed of Light (m/s),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Speed of Light (m/s),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Speed of Light (m/s),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Hubble Constant (km/s/Mpc),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Hubble Constant (km/s/Mpc),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Hubble Constant (km/s/Mpc),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Critical Density (kg/m^3),1
151008-v1,L1,LEGACY_120s,AMP_P2D,Critical Density (kg/m^3),44
151008-v1,L1,LEGACY_120s,AMP_D2D,Critical Density (kg/m^3),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Baryon-to-Photon Ratio,1
151008-v1,L1,LEGACY_120s,AMP_P2D,Baryon-to-Photon Ratio,44
151008-v1,L1,LEGACY_120s,AMP_D2D,Baryon-to-Photon Ratio,0
151008-v1,L1,LEGACY_120s,AMP_P2P,Astronomical Unit (m),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Astronomical Unit (m),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Astronomical Unit (m),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Parsec (m),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Parsec (m),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Parsec (m),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Solar Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Solar Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Solar Mass (kg),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Solar Radius (m),0
151008-v1,L1,LEGACY_120s,AMP_P2D,Solar Radius (m),0
151008-v1,L1,LEGACY_120s,AMP_D2D,Solar Radius (m),0
151008-v1,L1,LEGACY_120s,AMP_P2P,Earth Mass (kg),0
